Old company,New company,Action,Date
Abraham & Straus,Federated/Macy's,Merger,1929
Bamberger's,Macy's,Merger,1929
Filene's,Federated/Macy's,Merger,1929
Isaac Silver,H.L. Green,Merger,1929
Bloomingdale's,Federated/Macy's,Merger,1930
MacMarr,Safeway,Merger,1931
Kaufmann,May Co.,Merger,1946
Oppenheim Collins,City Stores,Merger,1946
Hale Brothers,Broadway,Merger,1950
Burdines,Federated/Macy's,Merger,1956
Daniels & Fisher,May Co.,Merger,1957
TG&Y,Ben Franklin,Merger,1957
McLellan,McCrory,Merger,1958
Hecht,May Co.,Merger,1959
Mandel,Wieboldt,Merger,1960
H.L. Green,McCrory,Merger,1961
Kinney Shoe,Woolworth,Merger,1963
Bullock's,Federated/Macy's,Merger,1964
Horne's,Associated Dry Goods,Merger,1965
Spartan-Atlantic,Korvettes,Merger,1965
Food Giant,Vornado,Merger,1967
Neiman Marcus,Broadway,Merger,1968
Red Owl,Gamble-Skogmo,Merger,1968
Emporium Capwell,Broadway,Merger,1970
Korvettes,Atlantic Dept.,Split,1970
Ayres,Associated Dry Goods,Merger,1972
Newberry's,McCrory,Merger,1972
Jefferson Stores,Wards,Merger,1973
Associated Dry Goods,Ayr-Way,Split,1977
A&F,Oshman's,Merger,1978
Colonial Stores,Grand Union,Merger,1978
RadioShack,Color Tile,Split,1978
Taco Bell,Yum! Brands,Merger,1978
Neisner's,Ames,Merger,1978
Gimbels,BATUS,Merger,1979
PayLess Shoe,May Co.,Merger,1979
Ayr-Way,Target,Merger,1980
Franklin/Barker's,King's,Merger,1980
Pay Less Drug (CA),Pay Less Drug (NW),Merger,1980
Caldor,Associated Dry Goods,Merger,1981
Children's Place,Federated/Macy's,Merger,1981
Giant-Carlisle,Ahold,Merger,1981
KB Toys,CVS,Merger,1981
Kress,McCrory,Merger,1981
Kress/Genesco,Kress,Split,1981
Kuhn's,Walmart,Merger,1981
Gray Drug,Sherwin-Williams,Merger,1982
Lane Bryant,Limited Brands,Merger,1982
Marshall Field,BATUS,Merger,1982
Twin Fair,Federated/Macy's,Merger,1982
Dillons,Kroger,Merger,1983
American Stores,ABCO Markets,Split,1984
County Seat,Carson Pirie Scott,Merger,1984
Grand Central,Walmart,Merger,1984
Jewel,American Stores,Merger,1984
Ben Franklin,TG&Y,Split,1985
G.C. Murphy,Ames,Merger,1985
Gaylords National,TJX,Merger,1985
HomeBase,TJX,Merger,1985
Jefferson Stores,Stop & Shop,Merger,1985
Lerner,Limited Brands,Merger,1985
Pay 'n Save,Northern Pacific,Split,1985
Pay Less Drug (NW),Kmart,Merger,1985
TG&Y,McCrory,Merger,1985
Wards,Jefferson Stores,Split,1985
Allied Stores,Federated/Macy's,Merger,1986
Associated Dry Goods,May Co.,Merger,1986
BATUS,Kohl's,Split,1986
KFC,Yum! Brands,Merger,1986
Allied Supermarkets,Vons,Merger,1987
Broadway,Neiman Marcus,Split,1987
Fingerhut,Musicland,Split,1987
Gray Drug,Rite Aid,Merger,1987
Higbee's,Dillard's,Merger,1987
Kmart,Kresge,Split,1987
Kresge,McCrory,Merger,1987
Pizitz,McRae's,Merger,1987
Sherwin-Williams,Gray Drug,Split,1987
A&F,Limited Brands,Merger,1988
American Stores,Lucky Arizona,Split,1988
Federated/Macy's,Children's Place,Split,1988
Federated/Macy's,Filene's,Split,1988
Filene's,May Co.,Merger,1988
First National,Ahold,Merger,1988
Lucky Arizona,ABCO Markets,Merger,1988
Lucky Stores,American Stores,Merger,1988
May Co.,Filene's Basement,Split,1988
Oshman's,A&F,Split,1988
Pay 'n Save,Ernst,Split,1988
Pay 'n Save,Thrifty,Merger,1988
Safeway,Safeway California,Split,1988
Safeway California,Vons,Merger,1988
Western Auto,Sears,Merger,1988
Ames,G.C. Murphy,Split,1989
Church's,Popeyes,Merger,1989
G.C. Murphy,McCrory,Merger,1989
May Co.,Caldor,Split,1989
Target,Lechmere,Split,1989
TJX,BJ's,Split,1989
BATUS,Marshall Field,Split,1990
BATUS,Saks,Split,1990
Marshall Field,Target,Merger,1990
May Co.,Venture,Split,1990
Peoples Drug,CVS,Merger,1990
Carson Pirie Scott,County Seat,Split,1991
Tops Markets,Ahold,Merger,1991
SuperValu,Shopko,Split,1991
Pay 'n Save,Kmart,Merger,1992
Stop & Shop,Bradlees,Split,1992
Thrifty,Pay 'n Save,Split,1992
Chess King,Merry-Go-Round,Merger,1993
CVS,Chess King,Split,1993
Price Club,Costco,Merger,1993
American Stores,Star Market,Split,1994
Kmart,Pay Less Drug (NW),Split,1994
Kmart,Sports Authority,Split,1994
Lechmere,Wards,Merger,1994
Macy's,Federated/Macy's,Merger,1994
McRae's,Proffitt's/Saks,Merger,1994
Pay Less Drug (NW),Thrifty,Merger,1994
Software Etc.,GameStop,Merger,1994
Broadway,Federated/Macy's,Merger,1995
Edison Brothers,Dave & Buster's,Split,1995
Food 4 Less,Ralphs,Merger,1995
Foodtown,Mayfair Supermarkets,Split,1995
Kmart,Borders,Split,1995
Kmart,OfficeMax,Split,1995
Mayfair Supermarkets,Ahold,Merger,1995
ABCO Markets,Fleming,Merger,1996
CVS,Footstar,Split,1996
CVS,KB Toys,Split,1996
CVS,Wilsons Leather,Split,1996
KB Toys,Big Lots,Merger,1996
Limited Brands,A&F,Split,1996
May Co.,PayLess Shoe,Split,1996
Parisian,Proffitt's/Saks,Merger,1996
